time,pid,block,byte
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,0,0
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,0,0
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,981047,8,4096
0,981047,0,0
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,0,0
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,981047,8,4096
0,981047,0,0
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,16,8192
0,981047,16,8192
0,981047,16,8192
0,981047,16,8192
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,0,0
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,16,8192
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,8,4096
0,808,16,8192
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,8,4096
0,0,16,8192
0,981047,8,4096
0,981047,0,0
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,8,4096
0,981047,40,20480
0,981047,40,20480
0,981047,40,20480
0,981047,40,20480
0,981047,8,4096
