time,pkg_pwr,ram_pwr
1,22.93,5.43
2,22.69,5.33
3,22.49,5.28
4,22.23,5.18
5,21.99,5.12
6,22.73,5.34
7,22.27,5.15
8,22.28,5.23
9,22.17,5.17
10,22.03,5.02
11,21.90,5.08
12,22.14,5.03
13,22.14,5.20
14,22.00,5.20
15,22.11,4.99
16,21.95,4.97
17,23.15,5.35
18,26.93,5.68
19,22.49,5.34
20,22.08,5.07
21,22.04,4.99
22,22.11,5.06
23,24.17,5.85
24,22.60,5.52
25,22.57,5.48
26,22.06,4.98
27,22.06,5.00
28,22.31,5.22
29,22.11,5.18
30,21.94,4.97
31,22.01,5.05
32,22.30,5.13
33,33.47,6.41
34,22.44,5.34
35,21.95,5.10
36,22.11,5.06
37,22.41,5.28
38,22.73,5.50
39,22.10,5.25
40,31.29,6.08
41,27.51,5.98
42,36.05,6.26
43,24.87,5.76
44,31.04,6.01
45,22.34,5.25
46,22.23,5.11
47,22.17,5.04
48,31.39,6.22
49,40.00,6.07
50,39.62,5.11
51,39.59,5.03
52,39.58,5.01
53,39.70,5.19
54,39.41,5.12
55,39.46,5.01
56,39.63,4.96
57,39.60,4.97
58,39.38,5.17
59,38.86,5.13
60,38.82,4.97
61,39.26,4.99
62,39.32,4.97
63,40.27,5.14
64,40.47,5.14
65,40.52,5.07
66,40.54,5.03
67,40.50,5.05
68,40.43,5.20
69,40.36,5.09
70,40.45,5.05
71,40.52,4.93
72,39.61,5.38
73,39.09,5.29
74,39.28,5.15
75,39.38,4.99
76,39.37,4.98
77,39.31,4.99
78,39.38,5.23
79,39.35,5.14
80,39.44,5.03
81,40.01,4.95
82,40.16,4.98
83,40.22,5.19
84,40.14,5.09
85,40.09,4.95
86,40.03,4.93
87,39.94,4.91
88,39.95,5.20
89,39.97,5.09
90,40.06,4.99
91,39.98,4.99
92,40.02,4.97
93,40.03,5.21
94,40.01,5.08
95,40.03,5.04
96,39.94,4.95
97,39.92,4.93
98,40.04,5.17
99,39.99,5.08
100,39.99,5.03
101,40.03,4.98
102,40.06,4.93
103,40.08,5.14
104,40.05,5.11
105,39.78,5.06
106,39.48,5.04
107,40.11,4.99
108,40.31,5.17
109,40.31,5.12
110,39.53,4.99
111,39.45,4.98
112,39.54,4.93
113,39.60,5.18
114,39.44,5.10
115,39.40,4.99
116,39.46,4.92
117,39.58,4.91
118,39.89,5.20
119,39.63,5.10
120,39.28,5.00
121,39.76,4.92
122,39.94,4.98
123,39.87,5.14
124,39.70,5.05
125,39.76,4.99
126,39.98,5.04
127,40.28,4.96
128,40.32,5.34
129,40.34,5.16
130,40.34,5.02
131,40.30,4.96
132,40.27,4.95
133,40.26,5.15
134,40.22,5.08
135,40.27,5.00
136,40.26,4.99
137,40.15,4.92
138,40.21,5.18
139,40.14,5.12
140,40.26,5.00
141,40.58,4.95
142,40.61,4.94
143,40.26,5.16
144,40.39,5.12
145,40.60,4.99
146,40.58,4.96
147,39.42,4.95
148,39.72,5.18
149,40.56,5.17
150,40.54,5.70
151,39.40,5.09
152,39.20,4.93
153,39.51,5.15
154,40.12,5.16
155,40.15,5.00
156,39.27,4.98
157,39.21,4.92
158,39.56,5.19
159,40.05,5.11
160,40.09,5.00
161,39.40,4.96
162,39.71,4.92
163,40.20,5.27
164,40.13,5.14
165,39.45,5.02
166,39.93,4.95
167,40.60,4.92
168,40.43,5.17
169,39.36,5.08
170,39.97,4.98
171,40.59,4.94
172,40.54,4.96
173,39.97,5.15
174,39.93,5.13
175,40.42,5.00
176,40.61,4.97
177,40.04,4.93
178,39.48,5.20
179,40.43,5.07
180,40.64,5.04
181,39.87,4.92
182,39.40,5.00
183,39.41,5.19
184,40.57,5.06
185,40.63,5.01
186,40.26,4.96
187,40.11,5.04
188,40.07,5.33
189,40.08,5.17
190,40.16,5.05
191,40.26,4.97
192,40.10,4.95
193,40.12,5.15
