time,pkg_pwr,ram_pwr
1,23.01,5.46
2,22.42,5.26
3,22.52,5.26
4,22.75,5.53
5,22.64,5.59
6,22.49,5.47
7,22.88,5.66
8,22.95,5.60
9,22.96,5.61
10,22.09,5.14
11,32.82,6.42
12,23.96,5.40
13,22.18,5.17
14,22.01,5.08
15,21.98,5.06
16,22.25,5.25
17,35.22,6.81
18,26.11,5.46
19,22.08,5.20
20,22.57,5.32
21,22.12,5.32
22,32.10,6.21
23,32.24,6.39
24,31.58,5.89
25,22.20,5.31
26,22.81,5.27
27,22.94,5.43
28,23.12,5.54
29,40.04,6.70
30,42.38,7.19
31,42.39,7.12
32,42.45,7.12
33,42.46,7.07
34,42.62,7.10
35,42.57,7.08
36,42.58,7.10
37,42.39,7.13
38,42.52,7.09
39,42.65,7.09
40,42.58,7.13
41,42.60,7.10
42,42.57,7.14
43,42.55,7.11
44,42.61,7.12
45,42.58,7.13
46,42.42,7.10
47,42.46,7.13
48,42.41,7.11
49,42.55,7.10
50,42.55,7.14
51,42.51,7.11
52,42.42,7.12
53,42.55,7.12
54,42.67,7.12
55,42.54,7.09
56,42.56,7.11
57,42.43,7.13
58,42.62,7.11
59,42.45,7.08
60,42.47,7.10
61,42.54,7.10
62,42.47,7.11
63,42.54,7.08
64,42.60,7.11
65,42.57,7.13
66,42.59,7.14
67,42.61,7.15
68,42.59,7.13
69,42.71,7.11
70,42.62,7.11
71,42.56,7.13
72,42.61,7.11
73,42.60,7.11
74,42.61,7.10
75,42.62,7.13
76,42.48,7.10
77,42.48,7.16
78,42.54,7.12
79,42.61,7.12
80,42.62,7.12
81,42.57,7.15
82,42.57,7.13
83,42.54,7.11
84,42.59,7.09
85,42.59,7.13
86,42.47,7.11
87,42.56,7.11
88,42.59,7.09
89,42.61,7.11
90,42.56,7.11
91,42.63,7.13
92,42.58,7.14
93,42.65,7.13
94,42.73,7.10
95,42.61,7.11
96,42.55,7.13
97,42.59,7.09
98,42.66,7.11
99,42.61,7.11
100,42.67,7.10
101,42.45,7.12
102,42.63,7.09
103,42.56,7.11
104,42.59,7.13
105,42.61,7.11
106,42.47,7.10
107,42.53,7.09
108,42.58,7.11
109,42.55,7.10
110,42.51,7.12
111,42.52,7.13
112,42.55,7.12
113,42.57,7.14
114,42.64,7.08
115,42.48,7.10
116,42.37,7.04
117,43.08,6.94
118,43.07,6.96
119,43.15,6.93
120,43.09,6.92
121,43.03,6.99
122,43.04,7.00
123,43.15,6.95
124,43.07,6.94
125,43.06,6.97
126,43.12,6.98
127,43.19,6.95
128,43.06,7.01
129,43.22,6.94
130,43.14,6.93
131,42.97,7.00
132,43.07,6.99
133,43.11,6.98
134,43.17,6.96
135,43.08,6.96
136,42.93,6.99
137,43.12,6.96
138,43.16,6.94
139,43.18,6.92
140,43.15,6.97
141,42.99,7.01
142,43.21,6.92
143,43.18,6.95
144,43.19,6.96
145,43.12,6.94
146,43.08,6.98
147,43.25,6.92
148,43.21,6.94
149,43.11,6.93
150,43.18,6.93
151,43.01,6.94
152,43.23,6.95
153,43.19,6.96
154,43.21,6.96
155,43.10,6.96
156,43.00,6.97
157,43.10,6.96
158,43.11,6.99
159,43.18,6.95
160,43.11,6.97
161,42.89,7.02
162,43.15,6.98
163,43.08,6.97
164,43.13,6.98
165,43.06,6.96
166,43.05,6.96
167,42.88,6.99
168,43.02,7.04
169,43.05,7.03
170,42.96,7.03
171,42.88,7.08
172,43.08,7.06
173,43.08,7.09
174,43.05,7.04
175,43.10,7.09
176,42.95,7.09
177,43.02,7.06
178,43.09,7.07
179,43.16,7.06
180,43.16,7.04
181,42.97,7.09
182,42.91,7.06
183,43.11,7.03
184,43.14,7.06
185,43.13,7.04
186,43.05,7.08
187,42.98,7.05
188,43.13,7.07
189,43.12,7.03
190,43.03,7.02
191,42.89,7.09
192,43.01,7.07
193,43.07,7.04
194,43.06,7.05
195,43.03,7.06
196,42.99,7.08
197,43.11,7.05
198,43.05,7.07
199,43.05,7.05
200,43.16,7.08
201,43.14,6.49
202,43.43,6.26
203,43.57,6.17
204,43.64,6.12
205,43.50,6.12
