time,pkg_pwr,ram_pwr
1,29.20,5.83
2,22.95,5.35
3,22.88,5.35
4,22.36,5.17
5,22.25,5.00
6,22.46,5.20
7,32.88,5.98
8,39.75,6.08
9,39.79,5.91
10,39.85,5.91
11,39.87,6.04
12,39.78,6.01
13,39.90,6.04
14,39.95,5.97
15,39.82,5.77
16,39.91,6.02
17,39.92,5.94
18,39.85,5.96
19,39.88,5.80
20,39.90,5.67
21,39.97,5.94
22,40.03,6.01
23,40.01,5.86
24,39.95,5.75
25,40.02,5.81
26,40.03,5.99
27,39.97,5.85
28,40.03,5.75
29,40.07,5.74
30,40.03,5.71
31,40.06,5.89
32,40.01,5.81
33,40.00,5.72
34,40.06,5.74
35,40.03,5.77
36,40.03,5.96
37,40.08,5.90
38,40.03,5.75
39,40.08,5.73
40,40.12,5.77
41,40.10,5.97
42,40.02,5.84
43,40.04,5.76
44,40.00,5.75
45,40.05,5.71
46,40.06,6.00
47,39.98,5.81
48,39.95,5.73
49,39.90,5.70
50,39.94,5.70
51,39.90,6.02
52,39.90,5.86
53,39.87,5.73
54,39.87,5.63
55,39.92,5.65
56,40.03,5.96
57,39.95,5.81
58,39.93,5.70
59,39.96,5.68
60,40.00,5.64
61,40.02,5.98
62,39.97,5.82
63,39.97,5.76
64,39.99,5.68
65,39.95,5.69
66,40.01,5.93
67,39.93,5.84
68,39.95,5.71
69,39.88,5.64
70,39.89,5.68
71,40.01,5.91
72,39.98,5.79
73,39.99,5.71
74,39.96,5.69
75,39.93,5.75
76,39.97,5.96
77,39.96,5.79
78,39.96,5.71
79,39.93,5.75
80,39.94,5.68
81,40.02,5.98
82,40.00,5.78
83,40.00,5.75
84,39.98,5.72
85,39.99,5.64
86,39.98,5.95
87,39.98,5.82
88,39.99,5.73
89,39.92,5.71
90,39.96,5.67
91,39.97,5.95
92,39.96,5.79
93,39.96,5.76
94,39.96,5.72
95,39.93,5.69
96,40.03,5.99
97,37.82,5.91
98,23.67,5.52
99,22.68,5.32
100,22.64,5.28
101,22.88,5.46
102,22.62,5.32
103,23.08,5.40
104,22.65,5.29
105,22.56,5.25
106,22.74,5.43
107,22.49,5.25
108,23.03,5.32
109,22.61,5.30
110,22.42,5.16
111,22.83,5.41
112,22.56,5.24
113,22.57,5.22
114,22.43,5.21
115,22.52,5.26
116,23.04,5.41
117,22.59,5.28
118,22.68,5.23
119,22.53,5.17
120,22.61,5.21
121,23.05,5.38
122,22.59,5.26
123,22.57,5.23
124,22.60,5.26
125,22.51,5.14
126,22.91,5.47
127,22.58,5.31
128,22.44,5.21
129,22.57,5.23
130,22.35,5.15
131,22.69,5.42
132,22.70,5.26
133,22.40,5.19
134,22.36,5.22
135,22.51,5.16
136,22.77,5.41
137,22.54,5.26
138,22.58,5.21
139,22.55,5.30
140,22.29,5.19
141,22.98,5.44
142,22.35,5.23
143,22.44,5.16
144,22.30,5.18
145,22.48,5.21
146,22.76,5.43
147,22.47,5.30
148,22.40,5.20
149,22.46,5.22
150,22.47,5.20
151,23.12,5.46
152,22.66,5.26
153,22.41,5.21
154,22.47,5.20
155,22.42,5.19
156,22.92,5.45
157,22.58,5.29
158,22.39,5.27
159,22.40,5.24
160,22.31,5.19
161,22.93,5.41
162,22.40,5.30
163,22.49,5.25
164,22.46,5.19
165,22.33,5.15
166,22.89,5.48
167,22.54,5.28
168,22.43,5.20
169,22.55,5.24
170,22.35,5.18
171,22.78,5.37
172,22.48,5.30
173,22.34,5.19
174,22.45,5.18
175,22.30,5.12
176,23.00,5.42
177,22.51,5.31
178,22.41,5.24
179,22.36,5.24
180,22.25,5.18
181,22.72,5.38
182,22.33,5.25
183,22.31,5.13
184,22.48,5.24
185,22.50,5.25
186,22.69,5.40
187,27.97,6.14
188,40.18,7.38
189,40.88,7.94
190,40.30,7.52
191,40.09,7.23
192,40.06,7.16
193,39.87,6.84
194,39.84,6.79
195,40.28,7.32
196,40.34,7.28
197,40.20,7.20
198,40.36,7.16
199,40.21,7.02
200,40.31,7.19
201,40.27,7.37
202,40.23,7.37
203,40.32,7.19
204,40.26,7.09
205,40.41,7.20
206,40.47,7.20
207,40.80,7.61
208,41.08,7.79
209,40.99,7.77
210,41.06,7.83
211,41.05,7.77
212,41.05,7.77
213,41.03,7.76
214,40.37,7.01
215,40.21,6.79
216,40.19,6.85
217,40.19,6.99
218,40.22,6.90
219,40.16,6.87
220,40.13,7.08
221,40.20,7.29
222,40.38,7.67
223,40.38,7.63
224,40.42,7.64
225,40.42,7.67
226,40.40,7.62
227,40.45,7.61
228,40.49,7.69
229,40.42,7.65
230,40.47,7.66
231,40.46,7.64
232,40.47,7.65
233,40.36,7.64
234,40.43,7.63
235,40.44,7.66
236,40.38,7.59
237,40.31,7.62
238,40.29,7.58
239,40.30,7.63
240,40.37,7.63
241,40.39,7.60
242,40.33,7.63
243,40.35,7.65
244,40.28,7.62
245,40.32,7.64
246,40.44,7.62
247,40.40,7.65
248,40.28,7.61
249,40.36,7.63
250,40.35,7.65
251,40.31,7.60
252,40.36,7.68
253,40.36,7.65
254,40.34,7.61
255,40.32,7.65
256,40.28,7.58
257,40.21,7.64
258,40.27,7.64
259,40.32,7.63
260,40.35,7.65
261,40.39,7.61
262,40.33,7.66
263,40.32,7.66
