time,pkg_pwr,ram_pwr
1,25.45,5.70
2,23.02,5.48
3,23.78,5.65
4,22.71,5.50
5,23.17,5.72
6,23.22,5.64
7,23.64,5.78
8,23.22,5.66
9,23.08,5.63
10,30.64,6.22
11,28.08,6.05
12,27.08,6.22
13,37.92,6.58
14,26.57,5.88
15,36.50,6.68
16,31.29,6.01
17,26.83,5.92
18,25.87,6.01
19,26.53,6.11
20,40.34,6.89
21,40.12,6.43
22,39.85,6.18
23,39.83,6.11
24,39.86,6.06
25,39.89,6.20
26,39.83,5.93
27,39.94,6.26
28,39.96,6.19
29,39.93,6.06
30,39.98,6.09
31,40.03,6.34
32,39.99,6.20
33,39.96,6.19
34,40.00,6.17
35,39.92,5.99
36,39.94,6.11
37,39.80,5.62
38,40.05,6.31
39,39.96,6.24
40,39.94,6.13
41,39.84,5.83
42,39.75,5.57
43,40.05,6.36
44,39.89,6.18
45,39.82,6.06
46,39.85,6.17
47,39.67,5.81
48,39.98,6.37
49,40.01,6.44
50,40.01,6.40
51,40.03,6.39
52,40.01,6.33
53,40.00,6.48
54,39.98,6.36
55,40.04,6.47
56,40.01,6.35
57,39.71,5.67
58,39.94,6.29
59,39.99,6.33
60,40.08,6.41
61,39.94,6.04
62,39.73,5.65
63,40.09,6.51
64,40.05,6.41
65,40.00,6.32
66,39.99,6.30
67,39.81,5.84
68,40.09,6.34
69,40.17,6.59
70,40.01,6.38
71,40.12,6.52
72,40.18,6.52
73,40.12,6.51
74,35.87,6.23
75,38.36,6.70
76,37.42,6.54
77,37.81,6.60
78,40.01,6.36
79,40.03,6.24
80,40.05,6.36
81,39.85,6.09
82,39.95,6.02
83,40.16,6.50
84,40.17,6.48
85,40.14,6.45
86,39.96,6.16
87,39.90,5.86
88,40.10,6.40
89,39.98,6.13
90,40.13,6.47
91,39.91,6.12
92,39.77,5.80
93,40.04,6.42
94,39.96,6.38
95,39.96,6.37
96,39.86,6.11
97,39.75,5.64
98,40.01,6.40
99,40.05,6.48
100,40.06,6.29
101,40.14,6.39
102,39.96,5.86
103,40.13,6.33
104,40.23,6.60
105,40.16,6.45
106,40.13,6.31
107,39.90,5.82
108,40.02,6.17
109,40.03,5.98
110,39.92,5.97
111,39.97,6.10
112,39.82,5.73
113,39.98,6.24
114,39.92,6.09
115,39.85,6.02
116,39.95,6.15
117,39.87,5.82
118,40.02,6.30
119,40.06,6.45
120,39.99,6.31
121,39.92,6.16
122,39.77,5.83
123,39.98,6.20
124,39.94,6.21
125,40.15,6.42
126,39.83,5.84
127,39.89,5.77
128,40.06,6.33
129,39.94,5.98
130,40.05,6.27
131,39.96,6.21
132,39.92,5.93
133,37.96,6.64
134,39.16,6.68
135,38.61,6.73
136,38.97,6.29
137,39.85,5.87
138,40.12,6.46
139,40.16,6.44
140,40.15,6.54
141,39.86,5.84
142,39.95,5.97
143,40.08,6.43
144,40.04,6.38
145,40.16,6.51
146,40.10,6.56
147,40.05,6.31
148,39.98,6.21
149,40.11,6.47
150,40.05,6.29
151,40.16,6.61
152,40.09,6.47
153,40.15,6.46
154,40.12,6.51
155,40.06,6.42
156,40.06,6.44
157,40.21,6.65
158,40.02,6.35
159,40.04,6.50
160,40.07,6.51
161,40.13,6.61
162,40.04,6.44
163,40.05,6.41
164,40.01,6.33
165,40.10,6.58
166,39.92,6.22
167,39.79,5.89
168,40.08,6.49
169,40.15,6.53
170,40.11,6.43
171,40.08,6.52
172,39.98,6.32
173,40.08,6.45
174,40.06,6.45
175,40.10,6.39
176,40.17,6.51
177,40.01,6.22
178,40.13,6.46
179,40.17,6.43
180,40.09,6.34
181,40.10,6.50
182,40.01,6.34
183,40.11,6.44
184,40.13,6.48
185,40.00,6.32
186,39.81,5.90
187,39.87,5.94
188,40.10,6.52
189,39.97,6.21
190,40.11,6.50
191,39.83,5.92
192,39.85,5.95
193,40.05,6.48
194,40.07,6.45
195,40.14,6.51
196,39.89,6.06
197,39.86,6.00
198,40.06,6.53
199,40.06,6.39
200,39.94,6.24
201,39.91,6.18
202,39.86,6.00
203,40.00,6.36
204,39.83,5.99
205,40.03,6.44
206,39.72,6.48
207,32.37,6.23
208,39.00,6.71
209,37.14,6.59
210,38.88,6.54
211,40.11,6.59
212,39.92,6.12
213,40.10,6.58
214,40.03,6.43
215,39.92,6.37
216,40.08,6.60
217,39.79,5.87
218,39.92,6.21
219,40.05,6.45
220,40.10,6.51
221,40.07,6.56
222,39.95,6.25
223,39.93,6.26
224,40.01,6.48
225,40.05,6.43
226,40.06,6.55
227,40.01,6.43
228,39.99,6.46
229,40.05,6.46
230,40.02,6.38
231,40.07,6.55
232,40.02,6.49
233,40.04,6.52
234,39.91,6.10
235,39.97,6.25
236,40.09,6.62
237,40.07,6.46
238,40.03,6.50
239,40.03,6.48
240,40.03,6.49
241,39.98,6.48
242,40.08,6.57
243,40.09,6.49
244,40.04,6.46
245,40.08,6.46
246,39.96,6.48
247,40.08,6.54
248,40.14,6.63
249,39.99,6.37
250,39.96,6.32
251,40.05,6.62
252,40.02,6.54
253,40.01,6.43
254,39.91,6.22
255,40.09,6.55
256,39.98,6.57
257,39.90,6.24
258,40.03,6.46
259,40.02,6.51
260,40.04,6.51
261,39.79,6.14
262,39.86,6.09
263,39.93,6.29
264,39.96,6.48
265,39.99,6.39
266,39.79,5.95
267,39.83,6.00
268,39.87,6.29
269,40.16,6.60
270,40.00,6.50
271,39.78,6.10
272,39.83,6.13
273,40.01,6.49
274,40.07,6.59
275,40.04,6.56
276,39.81,6.05
277,39.90,6.10
278,39.87,6.23
279,39.99,6.54
280,39.98,6.51
281,39.80,6.20
282,39.86,6.14
283,40.04,6.48
284,39.98,6.42
285,40.06,6.52
286,39.78,5.94
287,39.88,6.11
288,37.66,6.67
289,38.68,6.73
290,38.53,6.62
291,40.22,6.88
292,39.93,6.28
293,39.93,6.30
294,40.04,6.59
295,40.06,6.57
296,39.92,6.30
297,39.84,6.22
298,39.89,6.28
